"순위","부스","방문 수","평점"
1,"비블리온",71,4.94
2,"만들락",67,4.87
3,"문화사회부",59,4.96
4,"국경선넘어국제경영동아리",53,4.96
5,"사필귀정 동아리",43,4.86
6,"글로벌이슈포럼",31,4.86
7,"내 손으로 만드는 지구 (최종)",22,4.94
8,"프로그래밍 동아리",21,4.85
9,"뉴트럴아트",20,4.83
10,"아트바이오",20,4.68
11,"보건의학동아리",19,4.76
12,"일러스트",14,4.93
13,"독서 연금술사",10,4.75
14,"방송부 JCBC",10,4.6
15,"브루잉",5,5.0
16,"케미온",5,4.8
17,"과학소설탐구방",3,4.33
18,"교학상장 동아리",2,5.0
19,"책과 함께",2,5.0
20,C.P.R,0,
21,"공학연구소",0,
22,"공학연구소(구)",0,
23,"공학연구소(구)(구)",0,
24,"국경선넘어국제경영동아리(구)",0,
25,"국제통상아시아~~",0,
26,"국제통상아시아문화반",0,
27,"기어업",0,
28,"내 손으로 지키는 지구환경",0,
29,"넷볼 동아리",0,
30,"뉴트럴 아트 동아리",0,
31,"독서 릴레이",0,
32,"독서연금술사",0,
33,"독서연금술사   .",0,
34,"독서연금술사(구)",0,
35,"방송부  JCBC",0,
36,"배구 동아리",0,
37,"범죄심리연구반",0,
38,"보건의학동아리(구)",0,
39,"빛나는 사색 동아리",0,
40,"사회동향분석동아리",0,
41,"수학  미래 연구회",0,
42,"수학 미래 연구회",0,
43,"수학 미래연구회",0,
44,"수학미래 연구회",0,
45,"수학미래연구회",0,
46,"신문으로 읽는 세상",0,
47,"신문으로 읽는 세상 동아리",0,
48,"씨실날씰",0,
49,"아르케",0,
50,"아티텍쳐",0,
51,"양말목 키링 만들기 체험",0,
52,"영미문화탐구반",0,
53,"온새미로",0,
54,"온새미로(구)",0,
55,"일본문화탐구동아리",0,
56,"일본문화탐구동아리(구)",0,
57,"코스모스",0,
58,"크랭크인",0,
59,"크랭크인(구)",0,
60,"크랭크인(구)(구)",0,
61,"크로스 앙상블",0,
62,"통상아시아 문화반",0,
63,"필르밍",0,
64,"한류콘텐츠",0,
65,"한류콘텐츠(구)",0,
